REFERANS_YIL;BULTEN_NO;KAPSAMICI_KAPSAMDISI;BT_BILG_MASAUSTU;BT_BILG_DIZUSTU;BT_TABLET;BT_TEL_CEP;BT_DIGER_CIHAZ;HANE_INTERNET_ERISIM_DURUMU;hane_aylik_gelir_grp_5;HHB;IBBS_1;HANE_FAKTOR
2023;10114;1;1;2;2;1;2;1;3;3;TR1;3432.632366
2023;10115;1;2;2;1;1;2;1;4;3;TR1;3878.143419
2023;10116;1;2;2;2;1;2;1;3;4;TR1;3540.642906
2023;10117;1;2;2;2;1;2;1;5;4;TR1;4894.848479
2023;10118;1;2;2;2;1;2;1;3;4;TR1;5046.059929
2023;10121;1;1;1;1;1;1;1;3;4;TR1;3433.059432
2023;10122;1;2;2;2;1;2;1;3;2;TR1;3112.245152
2023;10123;1;2;2;2;1;1;1;4;3;TR1;3990.186684
2023;10124;1;2;2;2;1;2;1;5;4;TR1;6149.891297
2023;10126;1;2;1;2;1;2;1;4;3;TR1;2499.154788
2023;10127;1;2;2;1;1;2;1;4;4;TR1;3478.815587
2023;10128;1;2;2;2;1;2;1;4;6;TR1;7250.092458
2023;10129;1;2;2;2;1;2;1;3;3;TR1;3878.143419
2023;10131;1;2;1;2;1;2;1;2;1;TR1;5238.076935
2023;10132;1;2;2;2;1;2;1;2;2;TR1;3974.736796
2023;10133;1;2;1;1;1;1;1;5;1;TR1;6121.046804
2023;10135;1;2;1;2;1;2;1;5;1;TR1;6121.046804
2023;10136;1;2;1;2;1;1;1;5;1;TR1;5134.156871
2023;10137;1;2;1;1;1;1;1;4;5;TR1;7112.476217
2023;10139;1;2;2;2;1;2;1;1;1;TR1;5258.592928
2023;10141;1;2;1;2;1;2;1;5;2;TR1;5903.219989
2023;10142;1;1;1;1;1;1;1;5;3;TR1;4290.790457
2023;10143;1;2;1;2;1;1;1;4;1;TR1;5498.537935
2023;10144;1;2;2;2;1;1;1;5;2;TR1;5903.219989
2023;10145;1;2;1;2;1;1;1;5;2;TR1;4623.272264
2023;10146;1;2;2;2;1;2;1;2;1;TR1;5238.076935
2023;10148;1;2;2;2;1;1;1;2;1;TR1;6121.046804
2023;10151;1;2;1;2;1;2;1;4;1;TR1;6062.541932
2023;10152;1;2;1;1;1;1;1;5;1;TR1;6121.046804
2023;10153;1;2;1;2;1;1;1;4;1;TR1;6065.040808
2023;10154;1;2;1;2;1;2;1;5;2;TR1;5051.861032
2023;10155;1;2;1;2;1;1;1;1;1;TR1;4766.563116
2023;10156;1;2;1;2;1;1;1;5;1;TR1;6065.040808
2023;10157;1;1;2;1;1;2;1;2;1;TR1;5042.820119
2023;10161;1;2;2;2;1;2;1;1;1;TR1;4206.874342
2023;10162;1;2;1;1;1;2;1;2;3;TR1;2162.475627
2023;10163;1;2;2;2;1;2;1;1;1;TR1;4087.74581
2023;10164;1;1;2;2;1;2;1;3;1;TR1;4850.033545
2023;10165;1;1;2;2;1;2;1;2;4;TR1;3381.893498
2023;10167;1;2;2;2;1;2;1;1;2;TR1;3526.219453
2023;10169;1;1;1;1;1;1;1;5;5;TR1;2719.162613
2023;10171;1;2;2;2;1;1;1;4;7;TR1;7253.416632
2023;10172;1;2;2;1;1;1;1;4;6;TR1;3615.364271
2023;10173;1;2;2;2;1;1;1;5;3;TR1;4535.296871
