BULTEN_NO,BT_BILG_MASAUSTU,BT_BILG_DIZUSTU,BT_TABLET,BT_TEL_CEP,BT_DIGER_CIHAZ,SON_KULLANIM_ETICARET,YAS,hane_aylik_gelir_grp_5,E_TICARET_YAPTI_MI
22379,2,2,2,1,2,90.0,64,4,0
22381,1,1,1,1,1,90.0,58,3,0
22381,1,1,1,1,1,90.0,50,3,0
22382,2,2,2,1,2,90.0,56,1,0
22382,2,2,2,1,2,90.0,49,1,0
22383,2,2,2,1,2,3.0,34,1,1
22383,2,2,2,1,2,90.0,28,1,0
22384,2,2,2,1,2,90.0,44,1,0
22385,2,2,2,1,2,2.0,53,5,1
22385,2,2,2,1,2,2.0,43,5,1
22386,2,2,2,1,2,90.0,42,1,0
22389,1,1,2,1,2,2.0,56,1,1
22392,2,2,2,1,1,1.0,34,5,1
22393,2,2,2,1,2,1.0,45,4,1
22394,2,2,2,1,2,1.0,41,3,1
22395,2,2,1,1,1,1.0,29,4,1
22396,2,2,2,1,1,90.0,52,1,0
22396,2,2,2,1,1,90.0,51,1,0
22397,1,2,2,1,2,1.0,24,5,1
22397,1,2,2,1,2,1.0,26,5,1
22399,2,2,2,1,2,90.0,45,3,0
223910,2,2,2,1,2,90.0,30,2,0
223910,2,2,2,1,2,90.0,30,2,0
22402,1,2,2,1,2,90.0,56,3,0
22404,2,2,2,1,2,90.0,63,1,0
22406,2,2,2,1,1,90.0,53,3,0
22406,2,2,2,1,1,2.0,17,3,1
224010,2,2,2,1,2,1.0,34,3,1
22412,2,2,2,1,2,2.0,50,1,1
22413,2,2,2,1,1,90.0,43,1,0
22413,2,2,2,1,1,2.0,18,1,1
22416,2,2,2,1,2,90.0,26,1,0
22418,2,2,1,1,1,90.0,43,4,0
22418,2,2,1,1,1,90.0,45,4,0
22418,2,2,1,1,1,1.0,16,4,1
22419,2,2,2,1,2,90.0,44,1,0
22419,2,2,2,1,2,90.0,35,1,0
224110,2,2,2,1,2,1.0,30,1,1
22421,2,2,2,1,2,90.0,54,2,0
22422,2,1,2,1,2,3.0,40,2,1
22422,2,1,2,1,2,90.0,39,2,0
22423,2,2,1,1,2,3.0,36,3,1
22423,2,2,1,1,2,1.0,34,3,1
22424,2,2,2,1,2,90.0,60,3,0
22425,2,1,2,1,2,1.0,39,1,1
22425,2,1,2,1,2,90.0,35,1,0
22427,2,2,2,1,2,90.0,36,1,0
22429,2,2,2,1,2,1.0,33,2,1
22429,2,2,2,1,2,1.0,31,2,1
22432,2,2,1,1,2,90.0,33,3,0
22432,2,2,1,1,2,90.0,33,3,0
22434,2,1,2,1,1,1.0,35,4,1
22434,2,1,2,1,1,1.0,34,4,1
22435,2,1,1,1,2,90.0,43,2,0
22435,2,1,1,1,2,90.0,39,2,0
22436,2,2,2,1,1,1.0,54,4,1
22436,2,2,2,1,1,2.0,50,4,1
22437,2,1,1,1,1,2.0,32,5,1
22437,2,1,1,1,1,1.0,36,5,1
22438,2,2,2,1,2,90.0,29,1,0
22439,1,2,2,1,2,1.0,49,3,1
22439,1,2,2,1,2,90.0,47,3,0
224310,2,2,1,1,2,90.0,68,2,0
22441,2,1,2,1,2,90.0,35,1,0
22441,2,1,2,1,2,1.0,32,1,1
22443,2,2,2,1,2,90.0,56,2,0
22445,2,2,2,1,1,90.0,68,1,0
22445,2,2,2,1,1,90.0,61,1,0
22446,2,2,2,1,2,90.0,69,1,0
22447,2,2,2,1,1,1.0,65,5,1
22448,2,2,2,1,2,90.0,45,1,0
22448,2,2,2,1,2,90.0,42,1,0
22448,2,2,2,1,2,90.0,20,1,0
22448,2,2,2,1,2,90.0,18,1,0
22449,2,2,2,1,1,90.0,54,4,0
224410,2,2,2,1,1,2.0,51,3,1
22451,2,2,2,1,2,90.0,36,4,0
